Sat,Latitudine,Longitudine,,
"Adalin, SJ", 47° 0'43.23"N, 23°26'11.96"E,,
"Adamesti, TL",,,,
"Agas, BC", 46°28'52.65"N, 26°13'42.19"E,,
"Agries, BN", 47°23'59.93"N, 24° 8'1.13"E,,
"Agris, CJ", 46°35'37.83"N, 23°31'15.72"E,,
"Agrisul de Sus, BN", 47° 9'3.32"N, 24°13'42.27"E,,
"Aiton, CJ", 46°40'58.33"N, 23°44'16.28"E,,
"Aiudul de Sus, AB", 46°19'21.91"N, 23°40'59.85"E,,
"Alba Iulia, AB", 46° 4'13.03"N, 23°33'59.13"E,,
"Albac, AB", 46°26'54.89"N, 22°57'49.36"E,,
"Albesti, AG", 45°12'54.58"N, 24°40'0.78"E,,
"Albesti, BV",,,,
"Alios, TM", 46° 2'15.38"N, 21°29'23.50"E,,
"Almas Saliste Ilia, HD", 46° 3'33.95"N, 22°31'10.80"E,,
"Almasel, HD", 46° 5'43.79"N, 22°26'15.55"E,,
"Almasu Mic de Munte, HD", 46° 3'20.48"N, 23° 4'50.30"E,,
"Alparea, BH", 47° 1'49.19"N, 22° 2'47.35"E,,
"Alun, HD", 45°42'22.14"N, 22°41'4.28"E,,
"Alunisu, CJ", 46°49'54.22"N, 22°56'31.06"E,,
"Alunisul, BN", 47°23'28.81"N, 24°16'39.18"E,,
"Amarastii de Jos, DJ", 43°57'17.73"N, 24° 9'59.18"E,,
"Ampoita, AB", 46° 7'3.36"N, 23°27'0.36"E,,
"Antonesti, ?", 44° 7'5.45"N, 25°10'55.02"E,,
"Apa Asau, BC", 46°29'44.38"N, 26°22'26.01"E,,
"Apahida, CJ", 46°48'17.63"N, 23°45'7.17"E,,
"Arbore, SV", 47°43'52.89"N, 25°55'25.43"E,,
"Arborea, BT", 48° 3'12.92"N, 26°30'51.57"E,,
"Ardeova, CJ", 46°47'42.82"N, 23° 6'17.78"E,,
"Ardeu, HD", 46° 1'19.40"N, 23° 8'35.99"E,,
"Ariciu/Salcia Tudor, BR", 45°22'18.67"N, 27°30'56.44"E,,
