Count,Pattern,Songs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,E 4128D 4128C 4128B 3128A 3128,[Bog. Col. 632.txt, BB. Cmir. 204.txt, Bog. Col. 327.txt, maram_476.txt, Bog. Col. 709.txt, del 75.txt, BB. C. 282.txt, CB. Col. 876.txt, sul 315.txt, GBr. Col. 265.txt, mrz 149.txt, BB. Col. 110.txt, Drg. Col. 173.txt, NU. Cvj. 257.txt, del 156.txt, mrz 140.txt, Bog. Col. 636.txt, Bog. Col. 716.txt, GBr. Col. 223.txt, SDrg. Doina. 12.txt, Drg. Col. 106.txt, mio_117.txt, GBr. Col. 59.txt, NU_89.txt, del 133.txt, IP. Cj. 78.txt, BB. Cmir. 203.txt, sul 251.txt, mrz 133.txt, sul 472.txt, IP. Cşez. 51.txt]
22,D 4128C 4128A 3128C 4128B 3256A 3128G 3256,[CB. Col. 454.txt, Bog. Col. 704.txt, CB. Col. 376.txt, Drg. Col. 97.txt, CB. Col. 497.txt, Bog. Col. 47.txt, CB. Col. 476.txt, Drg. Col. 189.txt, CB. Col. 831.txt, Drg. Col. 139.txt, 62k.txt, Bog. Col. 97.txt, GBr. Col. 110.txt, Bog. Col. 700.txt, CB. Col. 900.txt, Drg. Col. 219.txt, CB. Col. 377.txt, CB. Col. 431.txt, Bog. Col. 292.txt, Bog. Col. 708.txt, CB. Col. 434.txt, CB. Col. 531.txt],,,,,,,,,
20,C 4128B 3128A 3128G 3128A 3128,[mrz 366.txt, TBred. Col. nr. 381.txt, IP. Bal. 147.txt, TBred. Cpropriu-zis. nr. 68.txt, mrz 349.txt, BB. C. 282.txt, MF(AV). Cd. XXVIII 8.txt, IB. C. 30.txt, TBred. Cpropriu-zis. nr. 154.txt, mrz 187.txt, maram_84.txt, sul 428.txt, sul 165.txt, TBred. Cpropriu-zis. nr. 182.txt, CB. Col. 561.txt, TBred. Cpropriu-zis. nr. 118.txt, SDrg. Doina. 56.txt, sul 329.txt, del 96.txt, BB. Col. 37c.txt],,,,,,,,,,,
20,D 4128C 4128A 3128C 4128B 3256A 3128G 3256G 3256,[CB. Col. 454.txt, Bog. Col. 704.txt, CB. Col. 376.txt, Drg. Col. 97.txt, CB. Col. 497.txt, CB. Col. 476.txt, Bog. Col. 47.txt, Drg. Col. 189.txt, CB. Col. 831.txt, Bog. Col. 97.txt, GBr. Col. 110.txt, Bog. Col. 700.txt, CB. Col. 900.txt, Drg. Col. 219.txt, CB. Col. 377.txt, CB. Col. 431.txt, Bog. Col. 292.txt, Bog. Col. 708.txt, CB. Col. 434.txt, CB. Col. 531.txt],,,,,,,,,,,
19,E 3256E 3256A 3128B 3256C 4128B 3256,[Bog. Col. 7.txt, 62c.txt, CB. Col. 416.txt, Bog. Col. 283.txt, CB. Col. 415.txt, Bog. Col. 276.txt, 62g.txt, CBr. Col. p. 202.txt, BB. Col. 9a.txt, CB. Col. 387.txt, CB. Col. 385.txt, NU. Col. 102.txt, CB. Col. 552.txt, CBr. Col. p. 182.txt, Bog. Col. 66.txt, 62a.txt, CB. Col. 603.txt, mio_155.txt, 62f.txt],,,,,,,,,,,,
16,G 3128A 3128B 3128C 4128B 3128A 3128,[Bog. Col. 670.txt, BB. C. 270.txt, IP. Crzb. 61.txt, del 150.txt, NU. Cvj. 209.txt, del 82.txt, SDrg. Doina. 59.txt, TBred. Bal. nr. 50.txt, MF(AV). Cd. X 31.txt, sul 165.txt, NU_18.txt, CB. Col. 739.txt, mrz 254.txt, CB. Col. 726.txt, del 121.txt, NU. Cvj. 195.txt],,,,,,,,,,,,,,,
14,A 3128B 3128C 4128B 3128A 3128,[Bog. Col. 699.txt, BB. C. 288.txt, del 88.txt, MF(AV). Cd. XVIII 4.txt, BB. Col. 181.txt, BB. Col. 79b.txt, mrz 95.txt, NU_15.txt, GB. Col. 7.txt, sul 165.txt, BB. C. 286.txt, IP. Col. 29.txt, mrz 82.txt, scor 103.txt],,,,,,,,,,,,,,,,,
14,A 3128C 4128B 3256A 3128G 3256G 3256B 3128D 4256,[CB. Col. 454.txt, Bog. Col. 704.txt, CB. Col. 376.txt, CB. Col. 497.txt, CB. Col. 476.txt, Bog. Col. 47.txt, CB. Col. 831.txt, GBr. Col. 110.txt, Bog. Col. 700.txt, CB. Col. 900.txt, Drg. Col. 219.txt, CB. Col. 431.txt, CB. Col. 434.txt, CB. Col. 531.txt],,,,,,,,,,,,,,,,,
14,C 4256C 4128B 3256D 4128A 3256A 3128G 3256,[Bog. Col. 121.txt, CB. Col. 509.txt, Drg. Col. 198.txt, Bog. Col. 13.txt, Bog. Col. 669.txt, CB. Col. 452.txt, Bog. Col. 215.txt, Bog. Col. 668.txt, CB. Col. 600.txt, CB. Col. 525.txt, BB. Col. 84c.txt, EC. Col. 6.txt, Bog. Col. 666.txt, Bog. Col. 664.txt],,,,,,,,,,,,,,,,,
14,C 4256C 4128B 3256D 4128A 3256A 3128G 3256G 3128,[Bog. Col. 121.txt, CB. Col. 509.txt, Drg. Col. 198.txt, Bog. Col. 13.txt, Bog. Col. 669.txt, CB. Col. 452.txt, Bog. Col. 215.txt, Bog. Col. 668.txt, CB. Col. 600.txt, CB. Col. 525.txt, BB. Col. 84c.txt, EC. Col. 6.txt, Bog. Col. 666.txt, Bog. Col. 664.txt],,,,,,,,,,,,,,,,,
11,C 4128B 3256A 3128G 3256G 3256B 3128D 4256E 4128,[TBred. Col. nr. 381.txt, CB. Col. 431.txt, Bog. Col. 255.txt, Bog. Col. 704.txt, CB. Col. 376.txt, CB. Col. 476.txt, CB. Col. 434.txt, CB. Col. 831.txt, GBr. Col. 110.txt, Bog. Col. 700.txt, CB. Col. 900.txt],,,,,,,,,,,,,,,,,,,,
11,D 4128C 4128A 3256C 4128B 3256A 3128G 3256G 3256,[Bog. Col. 94.txt, NU. Col. 74.txt, CB. Col. 747.txt, Bog. Col. 91.txt, CB. Col. 381.txt, CB. Col. 782.txt, NU. Col. 73.txt, Bog. Col. 293.txt, CB. Col. 784.txt, GBr. Col. 99.txt, Bog. Col. 99.txt],,,,,,,,,,,,,,,,,,,,
11,E 4256E 4256A 4128B 4256C 5128B 4256,[MM DD. Col 52.txt, 62u.txt, MM DD. Col 46.txt, MM DD. Col 45.txt, MM DD. Col 47.txt, MDD. Col. 126.txt, MM DD. Col 49.txt, MM DD. Col 50.txt, MM DD. Col 53.txt, MM DD. Col 42.txt, MM DD. Col 54.txt],,,,,,,,,,,,,,,,,,,,
11,G 3128G 3128A 3128A 3128G 3128,[Bog. Col. 686.txt, EC. Boc. 50.txt, TBred. Cpropriu-zis. nr. 181.txt, BB. C. 94.txt, maram_438.txt, mrz 172.txt, sul 34.txt, NU. Cvj. 185.txt, mrz 173.txt, maram_456.txt, MF(AV). Cd. IV 141.txt],,,,,,,,,,,,,,,,,,,,
9,E 4128E 4128A 4128A 4128G 4256A 4256E 4256E 4256,[MM DD. Col 52.txt, MM DD. Col 46.txt, MM DD. Col 45.txt, MM DD. Col 51.txt, MDD. Col. 126.txt, MM DD. Col 49.txt, MDD. Col. 125.txt, MM DD. Col 50.txt, MM DD. Col 42.txt],,,,,,,,,,,,,,,,,,,,,,
9,G 3128G 3128A 3256C 4128B 3256A 3128G 3256G 3256,[NU. Col. 74.txt, Bog. Col. 697.txt, CB. Col. 782.txt, NU. Col. 73.txt, Bog. Col. 16.txt, CB. Col. 784.txt, GBr. Col. 99.txt, Bog. Col. 97.txt, Bog. Col. 99.txt],,,,,,,,,,,,,,,,,,,,,,
8,C 4128B 3256A 3128G 3256G 3256B 3128C 4128D 4256,[NU. Col. 74.txt, Bog. Col. 697.txt, CB. Col. 747.txt, Drg. Col. 97.txt, NU. Col. 73.txt, Bog. Col. 293.txt, CB. Col. 784.txt, GBr. Col. 99.txt],,,,,,,,,,,,,,,,,,,,,,,
8,C 4128B 3256A 3128G 3256G 3256B 3128D 4256D 4128,[CB. Col. 454.txt, CB. Col. 497.txt, Bog. Col. 47.txt, CB. Col. 381.txt, CB. Col. 469.txt, CB. Col. 531.txt, CB. Col. 544.txt, Drg. Col. 219.txt],,,,,,,,,,,,,,,,,,,,,,,
8,D 4128C 4128A 3256C 4128B 3256A 3128G 3256,[Bog. Col. 94.txt, NU. Col. 74.txt, CB. Col. 747.txt, Bog. Col. 91.txt, CB. Col. 381.txt, Bog. Col. 293.txt, CB. Col. 784.txt, GBr. Col. 99.txt],,,,,,,,,,,,,,,,,,,,,,,
8,D 4256C 4128B 3128A 3256G 3256,[BB. Col. 88b.txt, TBred. Cpropriu-zis. nr. 88.txt, Bog. Col. 637.txt, CB. Col. 834.txt, TBred. Col. nr. 295.txt, 61d.txt, IP. Cd.193.txt, Bog. Col. 635.txt],,,,,,,,,,,,,,,,,,,,,,,
